INFO : 2018-01-29 23:54:09,243 : Searching files naming sales
DEBUG : 2018-01-29 23:55:49,108 : FILE::: d:/MisDocs\Blocs de notas de OneNote\OneNote\Copia de seguridad\14.0\Copia de seguridad\Dailys or Tasks\sales-7557.one (El 21-03-2017).one  
DEBUG : 2018-01-29 23:55:49,108 : FILE::: d:/MisDocs\Blocs de notas de OneNote\OneNote\Copia de seguridad\14.0\Copia de seguridad\Fundacion\sales-7232.one (El 19-02-2017).one  
DEBUG : 2018-01-29 23:55:49,108 : FILE::: d:/MisDocs\Blocs de notas de OneNote\OneNote\Copia de seguridad\14.0\Copia de seguridad\Fundacion\sales-7557.one (El 19-02-2017).one  
DEBUG : 2018-01-29 23:55:55,803 : FILE::: d:/respaldo\xampp\htdocs\mixtica\wp-content\themes\mixtica\page-templates\tpl_sucursales.php  
INFO : 2018-01-29 23:55:56,288 : Searching folders naming one
DEBUG : 2018-01-29 23:55:56,350 : FOLDER::: d:/Fotos\mangas\l-dk\ch0-moeros-kei-seifuku-danshi-oneshot-bes 
DEBUG : 2018-01-29 23:55:56,366 : FOLDER::: d:/Fotos\mangas\LEIDOS\ane-doki-ane-doki\vol2-ch12-la-cosa-que-ponen-esas-letras-juntas-bes 
DEBUG : 2018-01-29 23:55:56,522 : FOLDER::: d:/mio\www\arteycemento\wp-content\plugins\facebook-twitter-google-plus-one-social-share-buttons-for-wordpress 
DEBUG : 2018-01-29 23:55:56,647 : FOLDER::: d:/mio\www\cepodo\tinymce\jscripts\tiny_mce\plugins\noneditable 
DEBUG : 2018-01-29 23:55:56,757 : FOLDER::: d:/mio\www\rac\app\code\community\Phoenix\Moneybookers 
DEBUG : 2018-01-29 23:55:56,757 : FOLDER::: d:/mio\www\rac\app\code\community\Phoenix\Moneybookers\sql\moneybookers_setup 
DEBUG : 2018-01-29 23:55:56,819 : FOLDER::: d:/mio\www\rac\app\code\core\Mage\Adminhtml\Block\Report\Shopcart\Abandoned 
DEBUG : 2018-01-29 23:55:56,850 : FOLDER::: d:/mio\www\rac\app\code\core\Mage\Adminhtml\Model\System\Config\Clone 
DEBUG : 2018-01-29 23:55:57,306 : FOLDER::: d:/mio\www\rac\app\design\adminhtml\default\default\template\moneybookers 
DEBUG : 2018-01-29 23:55:57,368 : FOLDER::: d:/mio\www\rac\app\design\frontend\base\default\template\moneybookers 
DEBUG : 2018-01-29 23:55:57,368 : FOLDER::: d:/mio\www\rac\app\design\frontend\base\default\template\checkout\onepage 
DEBUG : 2018-01-29 23:55:57,399 : FOLDER::: d:/mio\www\rac\app\design\frontend\base\default\template\downloadable\checkout\onepage 
DEBUG : 2018-01-29 23:55:57,415 : FOLDER::: d:/mio\www\rac\app\design\frontend\base\default\template\persistent\checkout\onepage 
DEBUG : 2018-01-29 23:55:57,415 : FOLDER::: d:/mio\www\rac\app\design\frontend\default\iphone 
DEBUG : 2018-01-29 23:55:57,431 : FOLDER::: d:/mio\www\rac\app\design\frontend\default\iphone\template\checkout\onepage 
DEBUG : 2018-01-29 23:55:57,431 : FOLDER::: d:/mio\www\rac\app\design\frontend\default\iphone\template\downloadable\checkout\onepage 
DEBUG : 2018-01-29 23:55:57,431 : FOLDER::: d:/mio\www\rac\app\design\frontend\default\iphone\template\persistent\checkout\onepage 
DEBUG : 2018-01-29 23:55:57,524 : FOLDER::: d:/mio\www\rac\js\tiny_mce\plugins\noneditable 
DEBUG : 2018-01-29 23:55:57,665 : FOLDER::: d:/mio\www\rac\skin\adminhtml\default\default\images\moneybookers 
DEBUG : 2018-01-29 23:55:57,681 : FOLDER::: d:/mio\www\rac\skin\frontend\base\default\images\moneybookers 
DEBUG : 2018-01-29 23:55:57,681 : FOLDER::: d:/mio\www\rac\skin\frontend\default\iphone 
DEBUG : 2018-01-29 23:55:57,696 : FOLDER::: d:/mio\www\tramibol\wp-content\plugins\facebook-twitter-google-plus-one-social-share-buttons-for-wordpress 
DEBUG : 2018-01-29 23:55:57,774 : FOLDER::: d:/MisDocs\andy proyecto\pds agil\programacionextrema.org-articulos-designdead.es_files 
DEBUG : 2018-01-29 23:55:57,946 : FOLDER::: d:/MisDocs\Java Master Application Developer\4. Construyendo Aplicaciones Distribuidas con Web Services y EJB 
DEBUG : 2018-01-29 23:55:57,946 : FOLDER::: d:/MisDocs\Java Master Application Developer\1. Construyendo Capa Modelo Vista Controlador (MVC) con Struts2, JSF y PrimeFaces\Alumno\02 Componentes Struts2 
DEBUG : 2018-01-29 23:55:57,946 : FOLDER::: d:/MisDocs\Java Master Application Developer\1. Construyendo Capa Modelo Vista Controlador (MVC) con Struts2, JSF y PrimeFaces\Alumno\05 Aplicaciones JSF 
DEBUG : 2018-01-29 23:55:57,962 : FOLDER::: d:/MisDocs\Java Master Application Developer\1. Construyendo Capa Modelo Vista Controlador (MVC) con Struts2, JSF y PrimeFaces\Instructor\02 Componentes Struts2 
DEBUG : 2018-01-29 23:55:57,962 : FOLDER::: d:/MisDocs\Java Master Application Developer\1. Construyendo Capa Modelo Vista Controlador (MVC) con Struts2, JSF y PrimeFaces\Instructor\05 Aplicaciones JSF 
DEBUG : 2018-01-29 23:55:57,978 : FOLDER::: d:/MisDocs\Java Master Application Developer\1. Construyendo Capa Modelo Vista Controlador (MVC) con Struts2, JSF y PrimeFaces\Instructor\Instructor\05 Aplicaciones JSF 
DEBUG : 2018-01-29 23:55:57,978 : FOLDER::: d:/MisDocs\Java Master Application Developer\2. Construyendo Capa de Persistencia con Ibatis e Hibernate\Alumno\03   MyBatis – Otras operaciones 
DEBUG : 2018-01-29 23:55:57,978 : FOLDER::: d:/MisDocs\Java Master Application Developer\2. Construyendo Capa de Persistencia con Ibatis e Hibernate\Instructor\03 MyBatis - Otras operaciones 
DEBUG : 2018-01-29 23:55:58,587 : FOLDER::: d:/MisDocs\trabajos\concytec\20131113.ventanilla\ventanilla\web\created\tblFormularioPublicaciones 
DEBUG : 2018-01-29 23:55:58,587 : FOLDER::: d:/MisDocs\trabajos\concytec\20131113.ventanilla\ventanilla\web\created\tblInstitucionesAsociadas 
